National Total	Autonomous Communities and Cities	Index type	Indices and rates	Period	Total
Nacional	06 Cantabria	General	Index	2017QIV	107.841
Nacional	06 Cantabria	General	Index	2017QIII	107.781
Nacional	06 Cantabria	General	Index	2017QII	107.221
Nacional	06 Cantabria	General	Index	2017QI	103.888
Nacional	06 Cantabria	General	Index	2016QIV	103.263
Nacional	06 Cantabria	General	Index	2016QIII	103.053
Nacional	06 Cantabria	General	Index	2016QII	102.975
Nacional	06 Cantabria	General	Index	2016QI	100.898
Nacional	06 Cantabria	General	Index	2015QIV	100.895
Nacional	06 Cantabria	General	Index	2015QIII	102.302
Nacional	06 Cantabria	General	Index	2015QII	100.838
Nacional	06 Cantabria	General	Index	2015QI	95.965
Nacional	06 Cantabria	General	Index	2014QIV	98.946
Nacional	06 Cantabria	General	Index	2014QIII	97.639
Nacional	06 Cantabria	General	Index	2014QII	95.972
Nacional	06 Cantabria	General	Index	2014QI	96.287
Nacional	06 Cantabria	General	Index	2013QIV	97.239
Nacional	06 Cantabria	General	Index	2013QIII	95.759
Nacional	06 Cantabria	General	Index	2013QII	94.295
Nacional	06 Cantabria	General	Index	2013QI	94.951
Nacional	06 Cantabria	General	Index	2012QIV	101.888
Nacional	06 Cantabria	General	Index	2012QIII	101.172
Nacional	06 Cantabria	General	Index	2012QII	106.215
Nacional	06 Cantabria	General	Index	2012QI	111.154
Nacional	06 Cantabria	General	Index	2011QIV	116.713
Nacional	06 Cantabria	General	Index	2011QIII	119.977
Nacional	06 Cantabria	General	Index	2011QII	124.981
Nacional	06 Cantabria	General	Index	2011QI	127.916
Nacional	06 Cantabria	General	Index	2010QIV	132.007
Nacional	06 Cantabria	General	Index	2010QIII	133.693
Nacional	06 Cantabria	General	Index	2010QII	137.628
Nacional	06 Cantabria	General	Index	2010QI	136.215
