DATAFLOW,LAST UPDATE,freq,housing,building,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Principado de Asturias,2021,446568,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Cantabria,2021,238231,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Noreste,2021,1848300,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,País Vasco,2021,919503,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Comunidad Foral de Navarra,2021,256332,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,La Rioja,2021,132242,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Aragón,2021,540227,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Comunidad de Madrid,2021,2546489,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Centro (ES),2021,2259739,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Castilla y León,2021,1025678,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Castilla-La Mancha,2021,799696,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Extremadura,2021,434365,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Este,2021,5453396,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Cataluña,2021,2989357,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Comunitat Valenciana,2021,2022500,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Illes Balears,2021,441536,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Sur,2021,3832540,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Andalucía,2021,3241131,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Región de Murcia,2021,540499,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Ciudad de Ceuta,2021,25380,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Ciudad de Melilla,2021,25534,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Canarias,2021,820315,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Extra-Regio NUTS 1,2021,0,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Extra-Regio NUTS 2,2021,0,,
