STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES53,Illes Balears,2022,,11.8,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES53,Illes Balears,2023,,14.5,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES53,Illes Balears,2024,,11.0,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES53,Illes Balears,2025,,6.4,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES6,Sur,2021,,9.5,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES6,Sur,2022,,9.2,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES6,Sur,2023,,8.3,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES6,Sur,2024,,7.1,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES6,Sur,2025,,7.0,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES61,Andalucía,2021,,10.1,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES61,Andalucía,2022,,9.4,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES61,Andalucía,2023,,8.7,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES61,Andalucía,2024,,7.2,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES61,Andalucía,2025,,7.0,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES62,Región de Murcia,2021,,5.9,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES62,Región de Murcia,2022,,8.0,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES62,Región de Murcia,2023,,6.0,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES62,Región de Murcia,2024,,6.3,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES62,Región de Murcia,2025,,6.8,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES63,Ciudad de Ceuta,2021,,14.1,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES63,Ciudad de Ceuta,2022,,9.5,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES63,Ciudad de Ceuta,2023,,5.5,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES63,Ciudad de Ceuta,2024,,6.3,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES63,Ciudad de Ceuta,2025,,7.3,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES64,Ciudad de Melilla,2021,,15.4,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES64,Ciudad de Melilla,2022,,13.2,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES64,Ciudad de Melilla,2023,,7.2,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES64,Ciudad de Melilla,2024,,12.1,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES64,Ciudad de Melilla,2025,,13.8,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES7,Canarias,2021,,15.0,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES7,Canarias,2022,,14.8,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES7,Canarias,2023,,8.6,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES7,Canarias,2024,,9.3,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES7,Canarias,2025,,5.0,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES70,Canarias,2021,,15.0,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES70,Canarias,2022,,14.8,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES70,Canarias,2023,,8.6,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES70,Canarias,2024,,9.3,,,,,
dataflow,ESTAT:ILC_LVHO07_R(1.0),Housing cost overburden rate by NUTS 2 region,A,Annual,PC,Percentage,ES70,Canarias,2025,,5.0,,,,,
